Propellant mass [kg],X cog inertia [m]
0.0,59.9285707623921
27.502462376574407,59.9188341741398
55.00492475314881,59.90911129453513
82.50738712972321,59.89940213649344
110.00984950629763,59.88970671294632
137.51231188287204,59.88002503684161
165.01477425944643,59.87035712114342
192.51723663602084,59.860702978832165
220.01969901259525,59.85106262290461
247.52216138916967,59.84143606637388
275.0246237657441,59.831823322269436
302.52708614231847,59.8222244036372
330.02954851889285,59.81263932353951
357.5320108954673,59.80306809505515
385.0344732720417,59.79351073127942
412.5369356486161,59.7839672453241
440.0393980251905,59.77443765031753
467.5418604017649,59.76492195940462
495.04432277833934,59.75542018574686
522.5467851549138,59.74593234252232
550.0492475314882,59.73645844292577
577.5517099080625,59.726998500168655
605.0541722846369,59.717552527479036
632.5566346612113,59.70812053810178
660.0590970377857,59.69870254529846
687.5615594143602,59.68929856234744
715.0640217909346,59.67990860254387
742.566484167509,59.67053267919975
770.0689465440834,59.661170805643906
797.5714089206577,59.65182299522206
825.0738712972322,59.64248926129687
852.5763336738066,59.633169617247866
880.078796050381,59.6238640764716
907.5812584269554,59.61457265238156
935.0837208035298,59.60529535840831
962.5861831801043,59.5960322079994
990.0886455566787,59.586783214619494
1017.591107933253,59.5775483917503
1045.0935703098276,59.56832775289069
1072.596032686402,59.559121311556694
1100.0984950629763,59.54992908128148
1127.6009574395507,59.54075107561548
1155.103419816125,59.531587308126284
1182.6058821926995,59.52243779239881
1210.1083445692739,59.51330254203521
1237.6108069458483,59.50418157065503
1265.1132693224226,59.49507489189503
1292.615731698997,59.48598251940946
1320.1181940755714,59.47690446686992
1347.620656452146,59.46784074796542
1375.1231188287204,59.45879137640246
1402.6255812052948,59.449756365905
1430.1280435818692,59.44073573021452
1457.6305059584436,59.43172948309002
1485.132968335018,59.42273763830809
1512.6354307115923,59.413760209662875
1540.1378930881667,59.40479721096618
1567.640355464741,59.39584865604743
1595.1428178413155,59.38691455875375
1622.64528021789,59.37799493294996
1650.1477425944645,59.36908979251863
1677.6502049710389,59.36019915136005
1705.1526673476133,59.35132302339236
1732.6551297241876,59.342461422551466
1760.157592100762,59.333614362791174
1787.6600544773364,59.3247818580831
1815.1625168539108,59.31596392241681
1842.6649792304852,59.30716056979982
1870.1674416070596,59.298371814257564
1897.669903983634,59.28959766983348
1925.1723663602086,59.280838150589055
1952.674828736783,59.2720932706038
1980.1772911133573,59.26336304397532
2007.6797534899317,59.25464748481929
2035.182215866506,59.245946607269545
2062.6846782430807,59.237260425478105
2090.187140619655,59.22858895361516
2117.6896029962295,59.21993220586913
2145.192065372804,59.21129019644668
2172.6945277493783,59.20266293957279
2200.1969901259527,59.1940504494907
2227.699452502527,59.18545274046203
2255.2019148791014,59.17686982676678
2282.704377255676,59.16830172270329
2310.20683963225,59.159748442588395
2337.7093020088246,59.15121000075737
2365.211764385399,59.14268641156395
2392.7142267619734,59.13417768938044
2420.2166891385477,59.125683848597646
2447.719151515122,59.117204903624994
2475.2216138916965,59.108740868890486
2502.724076268271,59.10029175884081
2530.2265386448453,59.09185758794124
2557.7290010214197,59.08343837067584
2585.231463397994,59.075034121547354
2612.7339257745684,59.06664485507728
2640.236388151143,59.05827058580595
2667.7388505277177,59.04991132829247
2695.241312904292,59.04156709711482
2722.7437752808664,59.03323790686987
2750.246237657441,59.02492377217338
2777.748700034015,59.01662470766007
2805.2511624105896,59.00834072798363
2832.753624787164,59.000071847816734
2860.2560871637384,58.99181808185112
2887.7585495403127,58.9835794447976
2915.261011916887,58.975355951386035
2942.7634742934615,58.96714761636546
2970.265936670036,58.958954454504045
2997.7683990466103,58.95077648058917
3025.2708614231847,58.94261370942742
3052.773323799759,58.93446615584462
3080.2757861763334,58.926333834685906
3107.778248552908,58.91821676081573
3135.280710929482,58.910114949117876
3162.7831733060566,58.9020284144955
3190.285635682631,58.893957171871186
