Propellant mass [kg],Inertia [kg m^2]
1471102.4911209205,23378118306.50383
1476804.4387609242,23378863140.177147
1482506.3864009278,23379622937.756603
1488208.3340409314,23380397656.043373
1493910.2816809348,23381187251.887936
1499612.2293209385,23381991682.19025
1505314.176960942,23382810903.900043
1511016.1246009455,23383644874.016983
1516718.0722409491,23384493549.590958
1522420.0198809528,23385356887.72225
1528121.9675209562,23386234845.561848
1533823.9151609598,23387127380.31159
1539525.8628009635,23388034449.224472
1545227.810440967,23388956009.604847
1550929.7580809705,23389892018.808674
1556631.7057209741,23390842434.243736
1562333.6533609778,23391807213.369915
1568035.6010009812,23392786313.699398
1573737.5486409848,23393779692.796936
1579439.4962809884,23394787308.280075
1585141.443920992,23395809117.81941
1590843.3915609955,23396845079.13883
1596545.3392009991,23397895150.015736
1602247.2868410028,23398959288.28133
1607949.2344810062,23400037451.82083
1613651.1821210098,23401129598.573742
1619353.1297610134,23402235686.534065
1625055.077401017,23403355673.750618
1630757.0250410205,23404489518.327206
1636458.972681024,23405637178.422924
1642160.9203210277,23406798612.25242
1647862.8679610312,23407973778.08611
1653564.8156010348,23409162634.25046
1659266.7632410384,23410365139.128246
1664968.7108810418,23411581251.15877
1670670.6585210455,23412810928.838203
1676372.606161049,23414054130.719765
1682074.5538010527,23415310815.414024
1687776.5014410561,23416580941.589153
1693478.4490810598,23417864467.971184
1699180.3967210634,23419161353.344315
1704882.3443610668,23420471556.5511
1710584.2920010705,23421795036.49279
1716286.239641074,23423131752.12958
1721988.1872810777,23424481662.48084
1727690.1349210811,23425844726.62544
1733392.0825610848,23427220903.701996
1739094.0302010884,23428610152.909157
1744795.9778410918,23430012433.505844
1750497.9254810954,23431427704.811592
1756199.873121099,23432855926.206753
1761901.8207611025,23434297057.13282
1767603.7684011061,23435751057.092693
1773305.7160411098,23437217885.650978
1779007.6636811134,23438697502.434242
1784709.6113211168,23440189867.131298
1790411.5589611204,23441694939.49353
1796113.506601124,23443212679.33511
1801815.4542411275,23444743046.533348
1807517.401881131,23446286001.028957
1813219.3495211347,23447841502.82633
1818921.2971611384,23449409511.99384
1824623.2448011418,23450989988.664158
1830325.1924411454,23452582893.034508
1836027.140081149,23454188185.366966
1841729.0877211525,23455805825.988785
1847431.035361156,23457435775.29267
1853132.9830011597,23459077993.737076
1858834.9306411631,23460732441.846523
1864536.8782811668,23462399080.211887
1870238.8259211704,23464077869.490692
1875940.773561174,23465768770.407444
1881642.7212011775,23467471743.753895
1887344.668841181,23469186750.38941
1893046.6164811847,23470913751.24119
1898748.5641211881,23472652707.30467
1904450.5117611918,23474403579.643776
1910152.4594011954,23476166329.391254
1915854.407041199,23477940917.748966
1921556.3546812024,23479727305.988247
1927258.302321206,23481525455.450172
1932960.2499612097,23483335327.545902
1938662.1976012131,23485156883.757008
1944364.1452412168,23486990085.635765
1950066.0928812204,23488834894.805504
1955768.040521224,23490691272.960915
1961469.9881612274,23492559181.868378
1967171.935801231,23494438583.366302
1972873.8834412347,23496329439.365425
1978575.831081238,23498231711.849174
1984277.7787212417,23500145362.873974
1989979.7263612454,23502070354.5696
1995681.6740012488,23504006649.139477
2001383.6216412524,23505954208.861057
2007085.569281256,23507912996.08613
2012787.5169212597,23509882973.241165
2018489.464561263,23511864102.827656
2024191.4122012667,23513856347.422462
2029893.3598412704,23515859669.67815
2035595.3074812738,23517874032.32333
2041297.2551212774,23519899398.16303
2046999.202761281,23521935730.078983
2052701.1504012847,23523982991.030045
2058403.098041288,23526041144.052532
2064105.0456812917,23528110152.26051
2069806.9933212954,23530189978.84623
2075508.9409612988,23532280587.080433
2081210.8886013024,23534381940.312725
2086912.836241306,23536494001.971947
2092614.7838813094,23538616735.566498
2098316.731521313,23540750104.684723
2104018.6791613167,23542894072.995304
2109720.6268013204,23545048604.247547
2115422.574441324,23547213662.271824
2121124.5220813276,23549389210.97992
2126826.469721331,23551575214.365368
2132528.4173613344,23553771636.50387
2138230.365001338,23555978441.553646
2143932.3126413417,23558195593.755802
2149634.2602813453,23560423057.43473
2155336.207921349,23562660796.99846
2161038.155561352,23564908776.93906
2166740.103201356,23567166961.83301
2172442.0508413594,23569435316.341576
2178143.998481363,23571713805.211235
2183845.9461213667,23574002393.273987
2189547.8937613703,23576301045.447826
2195249.841401374,23578609726.737076
2200951.789041377,23580928402.232803
2206653.736681381,23583257037.11321
2212355.6843213844,23585595596.644024
2218057.631961388,23587944046.178894
2223759.5796013917,23590302351.15981
2229461.5272413953,23592670477.117477
2235163.474881399,23595048389.671734
2240865.422521402,23597436054.531956
2246567.3701614058,23599833437.497444
2252269.3178014094,23602240504.457874
2257971.265441413,23604657221.39367
2263673.2130814167,23607083554.37641
2269375.1607214203,23609519469.569298
2275077.108361424,23611964933.227493
2280779.056001427,23614419911.69861
2286481.0036414308,23616884371.423088
2292182.9512814344,23619358278.934624
2297884.898921438,23621841600.860607
2303586.8465614417,23624334303.922523
2309288.7942014453,23626836354.93641
2314990.741841449,23629347720.81326
2320692.689481452,23631868368.55947
2326394.6371214557,23634398265.277267
2332096.5847614594,23636937378.165127
2337798.532401463,23639485674.51825
2343500.4800414667,23642043121.72897
2349202.4276814703,23644609687.287193
2354904.375321474,23647185338.78086
2360606.322961477,23649770043.896385
2366308.2706014807,23652363770.419094
2372010.2182414844,23654966486.23368
2377712.165881488,23657578159.324657
2383414.1135214916,23660198757.776802
2389116.0611614953,23662828249.77563
2394818.0088014985,23665466603.607834
2400519.956441502,23668113787.661736
2406221.9040815057,23670769770.42779
2411923.8517215094,23673434520.49901
2417625.799361513,23676108006.57141
2423327.7470015166,23678790197.444565
2429029.6946415203,23681481062.02197
2434731.6422815234,23684180569.3116
2440433.589921527,23686888688.42631
2446135.5375615307,23689605388.584396
2451837.4852015343,23692330639.11
2457539.432841538,23695064409.43361
2463241.3804815416,23697806669.09257
2468943.3281215453,23700557387.73154
2474645.2757615484,23703316535.102997
2480347.223401552,23706084081.067703
2486049.1710415557,23708859995.595215
2491751.1186815593,23711644248.764397
2497453.066321563,23714436810.763863
2503155.0139615666,23717237651.892525
2508856.9616015702,23720046742.560085
2514558.9092415734,23722864053.287502
2520260.856881577,23725689554.707573
2525962.8045215807,23728523217.565353
2531664.7521615843,23731365012.718716
2537366.699801588,23734214911.138866
2543068.6474415916,23737072883.910835
2548770.5950815952,23739938902.23402
2554472.5427215984,23742812937.422684
2560174.490361602,23745694960.90648
2565876.4380016057,23748584944.231
2571578.3856416093,23751482859.058273
2577280.333281613,23754388677.167294
2582982.2809216166,23757302370.454586
2588684.2285616198,23760223910.934708
2594386.1762016234,23763153270.740788
2600088.123841627,23766090422.12509
2605790.0714816307,23769035337.459534
2611492.0191216343,23771987989.236233
2617193.966761638,23774948350.068066
2622895.9144016416,23777916392.6892
2628597.8620416448,23780892089.955673
2634299.8096816484,23783875414.8459
2640001.757321652,23786866340.46129
2645703.7049616557,23789864840.026764
2651405.6526016593,23792870886.89131
2657107.600241663,23795884454.52859
2662809.5478816666,23798905516.53748
2668511.4955216697,23801934046.64262
2674213.4431616734,23804970018.695045
2679915.390801677,23808013406.672688
2685617.3384416807,23811064184.68102
2691319.2860816843,23814122326.953594
2697021.233721688,23817187807.85264
2702723.1813616916,23820260601.869637
2708425.1290016947,23823340683.62594
2714127.0766416984,23826428027.87333
2719829.024281702,23829522609.494614
2725530.9719217056,23832624403.504257
2731232.9195617093,23835733385.04894
2736934.867201713,23838849529.408165
2742636.8148417166,23841972811.9949
2748338.7624817197,23845103208.356144
2754040.7101217234,23848240694.173565
2759742.657761727,23851385245.264088
2765444.6054017306,23854536837.58054
2771146.5530417343,23857695447.21225
2776848.500681738,23860861050.385685
2782550.4483217415,23864033623.465042
2788252.3959617447,23867213142.95295
2793954.3436017483,23870399585.49099
2799656.291241752,23873592927.86045
2805358.2388817556,23876793146.98287
2811060.1865217593,23880000219.92071
2816762.134161763,23883214123.878033
2822464.081801766,23886434836.20108
2828166.0294417697,23889662334.378983
2833867.9770817733,23892896596.044365
2839569.924721777,23896137598.974026
2845271.8723617806,23899385321.089607
2850973.8200017842,23902639740.458237
2856675.767641788,23905900835.29317
2862377.715281791,23909168583.954525
2868079.6629217947,23912442964.949875
2873781.6105617983,23915723956.934975
2879483.558201802,23919011538.71442
2885185.5058418056,23922305689.24233
2890887.4534818092,23925606387.623024
2896589.401121813,23928913613.11171
2902291.348761816,23932227345.115185
2907993.2964018197,23935547563.192524
2913695.2440418233,23938874247.055748
2919397.191681827,23942207376.57058
2925099.1393218306,23945546931.757088
2930801.086961834,23948892892.790432
2936503.034601838,23952245240.001556
2942204.982241841,23955603953.877903
2947906.9298818447,23958969015.06413
2953608.8775218483,23962340404.362827
2959310.825161852,23965718102.735252
2965012.7728018556,23969102091.302044
2970714.720441859,23972492351.343937
2976416.668081863,23975888864.302547
2982118.615721866,23979291611.781033
2987820.5633618697,23982700575.544914
2993522.5110018733,23986115737.522743
2999224.458641877,23989537079.80691
3004926.4062818806,23992964584.654366
3010628.353921884,23996398234.487362
3016330.301561888,23999838011.894253
3022032.249201891,24003283899.63019
3027734.1968418946,24006735880.61797
3033436.1444818983,24010193937.94874
3039138.092121902,24013658054.882782
3044840.0397619056,24017128214.85031
3050541.987401909,24020604401.45222
3056243.9350419124,24024086598.46091
3061945.882681916,24027574789.82102
3067647.8303219196,24031068959.650265
3073349.7779619233,24034569092.240208
3079051.725601927,24038075172.057064
3084753.6732419305,24041587183.74249
3090455.620881934,24045105112.114414
3096157.5685219374,24048628942.16783
3101859.516161941,24052158659.075592
3107561.4638019446,24055694248.18928
3113263.4114419483,24059235695.039986
3118965.359081952,24062782985.339134
3124667.3067219555,24066336104.979324
3130369.254361959,24069895040.035175
3136071.2020019623,24073459776.76415
3141773.149641966,24077030301.60737
3147475.0972819696,24080606601.190502
3153177.0449219733,24084188662.3246
3158878.992561977,24087776472.00694
3164580.9402019805,24091370017.42188
3170282.887841984,24094969285.941742
3175984.8354819873,24098574265.127644
3181686.783121991,24102184942.7304
3187388.7307619946,24105801306.691383
3193090.6784019982,24109423345.14339
3198792.626042002,24113051046.41156
3204494.5736820055,24116684399.014206
3210196.521322009,24120323391.663742
3215898.4689620123,24123968013.267593
3221600.416602016,24127618252.92906
3227302.3642420196,24131274099.94821
3233004.3118820232,24134935543.822845
3238706.259522027,24138602574.249363
3244408.2071620305,24142275181.12369
3250110.154802034,24145953354.542213
3255812.1024420373,24149637084.802666
3261514.050082041,24153326362.4051
3267215.9977220446,24157021178.05283
3272917.945362048,24160721522.653297
3278619.893002052,24164427387.3191
3284321.8406420555,24168138763.3689
3290023.7882820587,24171855642.328365
3295725.7359220623,24175578015.931152
3301427.683562066,24179305876.119843
3307129.6312020696,24183039215.04694
3312831.578842073,24186778025.07582
3318533.526482077,24190522298.781696
3324235.4741220805,24194272028.952625
3329937.4217620837,24198027208.59049
3335639.3694020873,24201787830.91195
3341341.317042091,24205553889.34949
3347043.2646820946,24209325377.55239
3352745.212322098,24213102289.38774
3358447.159962102,24216884618.941425
3364149.1076021055,24220672360.51918
3369851.0552421086,24224465508.647564
3375553.0028821123,24228264058.07504
3381254.950522116,24232068003.772934
3386956.8981621196,24235877340.93653
3392658.845802123,24239692064.98607
3398360.793442127,24243512171.56782
3404062.7410821305,24247337656.555107
3409764.6887221336,24251168516.049385
3415466.6363621373,24255004746.38127
3421168.584002141,24258846344.111645
3426870.5316421445,24262693306.032684
3432572.479282148,24266545629.168953
3438274.426922152,24270403310.7785
3443976.3745621555,24274266348.353897
3449678.3222021586,24278134739.62339
3455380.2698421623,24282008482.551937
3461082.217482166,24285887575.34236
3466784.1651221695,24289772016.436405
3472486.112762173,24293661804.515903
3478188.060402177,24297556938.503838
3483890.00804218,24301457417.565502
3489591.9556821836,24305363241.10962
3495293.9033221873,24309274408.789463
3500995.850962191,24313190920.50402
3506697.7986021945,24317112776.399124
3512399.746242198,24321039976.86859
3518101.693882202,24324972522.555412
3523803.641522205,24328910414.352867
3529505.5891622086,24332853653.405754
3535207.5368022122,24336802241.11149
3540909.484442216,24340756179.121353
3546611.4320822195,24344715469.34163
3552313.379722223,24348680113.934826
3558015.327362227,24352650115.32085
3563717.27500223,24356625476.17823
3569419.2226422336,24360606199.44531
3575121.170282237,24364592288.321453
3580823.117922241,24368583746.26829
3586525.0655622445,24372580577.01095
3592227.013202248,24376582784.539234
3597928.960842252,24380590373.108932
3603630.908482255,24384603347.243015
3609332.8561222586,24388621711.732906
3615034.803762262,24392645471.63973
3620736.751402266,24396674632.29557
3626438.6990422695,24400709199.304768
3632140.646682273,24404749178.54517
3637842.594322277,24408794576.169407
3643544.54196228,24412845398.6062
3649246.4896022836,24416901652.561665
3654948.437242287,24420963345.020573
3660650.384882291,24425030483.24768
3666352.3325222945,24429103074.789078
3672054.280162298,24433181127.473446
3677756.2278023018,24437264649.413437
3683458.175442305,24441353649.006966
3689160.1230823086,24445448134.938583
3694862.070722312,24449548116.180813
3700564.018362316,24453653601.995506
3706265.9660023195,24457764601.93518
3711967.913642323,24461881125.844433
3717669.8612823263,24466003183.86126
3723371.80892233,24470130786.418484
3729073.7565623336,24474263944.245125
3734775.704202337,24478402668.367794
3740477.651842341,24482546970.112064
3746179.5994823445,24486696861.103954
3751881.547122348,24490852353.271282
3757583.4947623513,24495013458.84509
3763285.442402355,24499180190.361103
3768987.3900423585,24503352560.66116
3774689.337682362,24507530582.89464
3780391.285322366,24511714270.519936
3786093.2329623695,24515903637.30588
3791795.180602373,24520098697.33326
3797497.1282423763,24524299464.99625
3803199.07588238,24528505955.00391
3808901.0235223835,24532718182.381668
3814602.971162387,24536936162.47281
3820304.918802391,24541159910.940018
3826006.8664423944,24545389443.76682
3831708.814082398,24549624777.25916
3837410.7617224013,24553865928.046917
3843112.709362405,24558112913.08541
3848814.6570024085,24562365749.656963
3854516.604642412,24566624455.372456
3860218.552282416,24570889048.172867
3865920.4999224194,24575159546.33085
3871622.447562423,24579435968.452293
3877324.3952024262,24583718333.477924
3883026.34284243,24588006660.68487
3888728.2904824335,24592300969.68829
3894430.238122437,24596601280.44292
3900132.185762441,24600907613.24475
3905834.1334024444,24605219988.732613
3911536.081042448,24609538427.88982
3917238.028682451,24613862952.04579
3922939.976322455,24618193582.87772
3928641.9239624585,24622530342.4122
3934343.871602462,24626873253.026913
3940045.819242466,24631222337.45228
3945747.7668824694,24635577618.773148
3951449.7145224726,24639939120.430492
3957151.662162476,24644306866.223087
3962853.60980248,24648680880.309235
3968555.5574424835,24653061187.20846
3974257.505082487,24657447811.803238
3979959.4527224908,24661840779.34074
3985661.4003624944,24666240115.434555
3991363.3480024976,24670645846.066433
3997065.295642501,24675057997.58808
4002767.243282505,24679476596.72288
4008469.1909225085,24683901670.567696
4014171.138562512,24688333246.594654
4019873.0862025158,24692771352.65292
4025575.0338425194,24697216016.970543
4031276.9814825226,24701667268.156197
4036978.929122526,24706125135.201084
4042680.87676253,24710589647.480705
4048382.8244025335,24715060834.756733
4054084.772042537,24719538727.178837
4059786.7196825407,24724023355.28657
4065488.6673225444,24728514750.01122
4071190.6149625476,24733012942.677673
4076892.562602551,24737517965.006348
4082594.510242555,24742029849.11505
4088296.4578825585,24746548627.5209
4093998.405522562,24751074333.14223
4099700.3531625657,24755606999.300537
4105402.3008025694,24760146659.722416
4111104.2484425725,24764693348.541473
4116806.196082576,24769247100.30033
4122508.14372258,24773807949.95258
4128210.0913625835,24778375932.86472
4133912.039002587,24782951084.818184
4139613.9866425907,24787533442.011356
4145315.9342825944,24792123041.061512
4151017.8819225975,24796719919.006893
4156719.829562601,24801324113.308723
4162421.777202605,24805935661.853233
4168123.7248426084,24810554602.953728
4173825.672482612,24815180975.352627
4179527.6201226157,24819814818.223564
4185229.567762619,24824456171.17343
4190931.5154026225,24829105074.24451
4196633.463042626,24833761567.916534
4202335.41068263,24838425693.108868
4208037.358322633,24843097491.182537
4213739.305962637,24847777003.942436
4219441.253602641,24852464273.63949
4225143.201242644,24857159342.97272
4230845.148882648,24861862255.091515
4236547.096522652,24866573053.597767
4242249.044162655,24871291782.54804
4247950.991802658,24876018486.455822
4253652.939442662,24880753210.293716
4259354.887082665,24885495999.495667
4265056.834722669,24890246899.959198
