Propellant mass [kg],X cog inertia [m]
0.0,59.9285707623921
5583.397659331956,59.9188341741398
11166.795318663912,59.90911129453513
16750.192977995866,59.89940213649344
22333.590637327823,59.88970671294632
27916.98829665978,59.88002503684161
33500.38595599173,59.87035712114342
39083.78361532369,59.860702978832165
44667.181274655646,59.85106262290461
50250.5789339876,59.84143606637388
55833.97659331956,59.831823322269436
61417.37425265151,59.8222244036372
67000.77191198347,59.81263932353951
72584.16957131542,59.80306809505515
78167.56723064739,59.79351073127942
83750.96488997934,59.7839672453241
89334.36254931129,59.77443765031753
94917.76020864325,59.764921959404624
100501.1578679752,59.75542018574686
106084.55552730717,59.74593234252232
111667.95318663912,59.73645844292578
117251.35084597107,59.72699850016865
122834.74850530303,59.717552527479036
128418.14616463498,59.708120538101774
134001.54382396693,59.69870254529846
139584.9414832989,59.68929856234744
145168.33914263084,59.67990860254387
150751.7368019628,59.67053267919975
156335.13446129477,59.661170805643906
161918.5321206267,59.65182299522206
167501.92977995868,59.64248926129687
173085.32743929062,59.633169617247866
178668.72509862258,59.6238640764716
184252.12275795455,59.61457265238156
189835.5204172865,59.60529535840831
195418.91807661846,59.5960322079994
201002.3157359504,59.586783214619494
206585.71339528236,59.5775483917503
212169.11105461433,59.568327752890696
217752.50871394627,59.559121311556694
223335.90637327824,59.54992908128148
228919.30403261018,59.54075107561548
234502.70169194214,59.531587308126284
240086.0993512741,59.52243779239881
245669.49701060605,59.51330254203522
251252.89466993802,59.504181570655014
256836.29232926996,59.49507489189503
262419.6899886019,59.48598251940946
268003.08764793386,59.47690446686992
273586.48530726583,59.46784074796542
279169.8829665978,59.45879137640246
284753.28062592976,59.449756365905
290336.6782852617,59.44073573021452
295920.07594459364,59.431729483090024
301503.4736039256,59.42273763830808
307086.8712632576,59.413760209662875
312670.26892258954,59.40479721096617
318253.66658192145,59.39584865604743
323837.0642412534,59.38691455875375
329420.4619005854,59.37799493294996
335003.85955991736,59.36908979251863
340587.2572192493,59.36019915136005
346170.65487858123,59.35132302339236
351754.0525379132,59.34246142255147
357337.45019724517,59.333614362791174
362920.84785657714,59.3247818580831
368504.2455159091,59.31596392241681
374087.643175241,59.30716056979982
379671.040834573,59.298371814257564
385254.43849390495,59.28959766983348
390837.8361532369,59.28083815058906
396421.2338125689,59.272093270603804
402004.6314719008,59.26336304397532
407588.02913123276,59.25464748481929
413171.4267905647,59.245946607269545
418754.8244498967,59.237260425478105
424338.22210922866,59.22858895361516
429921.6197685606,59.21993220586913
435505.01742789254,59.21129019644668
441088.4150872245,59.20266293957279
446671.8127465565,59.1940504494907
452255.21040588844,59.18545274046203
457838.60806522035,59.17686982676678
463422.0057245523,59.16830172270329
469005.4033838843,59.159748442588395
474588.80104321626,59.15121000075737
480172.1987025482,59.14268641156395
485755.59636188013,59.13417768938044
491338.9940212121,59.125683848597646
496922.39168054407,59.117204903624994
502505.78933987604,59.108740868890486
508089.186999208,59.1002917588408
513672.5846585399,59.09185758794124
519255.9823178719,59.08343837067584
524839.3799772038,59.075034121547354
530422.7776365358,59.06664485507728
536006.1752958677,59.05827058580594
541589.5729551998,59.04991132829247
547172.9706145317,59.04156709711482
552756.3682738636,59.033237906869864
558339.7659331956,59.02492377217339
563923.1635925275,59.01662470766007
569506.5612518595,59.00834072798363
575089.9589111914,59.000071847816734
580673.3565705233,58.99181808185113
586256.7542298554,58.98357944479759
591840.1518891873,58.97535595138603
597423.5495485193,58.96714761636545
603006.9472078512,58.95895445450404
608590.3448671831,58.95077648058917
614173.7425265152,58.94261370942742
619757.1401858471,58.93446615584462
625340.5378451791,58.926333834685906
630923.935504511,58.91821676081573
636507.3331638429,58.910114949117876
642090.7308231749,58.90202841449549
647674.1284825068,58.893957171871186
653257.5261418389,58.885901236186946
658840.9238011708,58.877860622404285
664424.3214605027,58.86983534550419
670007.7191198347,58.86182542048718
675591.1167791666,58.85383086237337
681174.5144384986,58.84585168620246
686757.9120978306,58.837887907033775
692341.3097571625,58.829939539946324
697924.7074164945,58.82200660003879
703508.1050758264,58.81408910242961
709091.5027351584,58.806187062256946
714674.9003944903,58.7983004946788
720258.2980538222,58.790429414872946
725841.6957131543,58.782573838037074
731425.0933724862,58.774733779388704
737008.4910318182,58.76690925416535
742591.8886911501,58.75910027762441
748175.286350482,58.751306865043304
753758.684009814,58.74352903171949
759342.081669146,58.73576679297044
764925.479328478,58.728020164133746
770508.8769878099,58.72028916056709
776092.2746471418,58.712573797648346
781675.6723064738,58.70487409077554
787259.0699658057,58.69719005536694
792842.4676251378,58.68952170686106
798425.8652844697,58.68186906071666
804009.2629438016,58.67423213241287
809592.6606031336,58.666610937449164
815176.0582624655,58.65900549134539
820759.4559217975,58.651415809641804
826342.8535811295,58.64384190789915
831926.2512404614,58.636283801698625
837509.6488997934,58.62874150664195
843093.0465591253,58.62121503835143
848676.4442184573,58.613704412469914
854259.8418777892,58.606209644660886
859843.2395371211,58.59873075060851
865426.6371964532,58.591267746017614
871010.0348557851,58.58382064661377
876593.4325151171,58.5763894681433
882176.830174449,58.568974226373285
887760.2278337809,58.5615749370917
893343.625493113,58.55419161610732
898927.0231524449,58.54682427924984
904510.4208117769,58.53947294236989
910093.8184711088,58.53213762133905
915677.2161304407,58.524818332049925
921260.6137897727,58.517515090416126
926844.0114491046,58.51022791237233
932427.4091084367,58.50295681387435
938010.8067677686,58.49570181089911
943594.2044271005,58.48846291944474
949177.6020864325,58.481240155530514
954760.9997457644,58.474033535197016
960344.3974050964,58.46684307450607
965927.7950644284,58.45966878954085
