Propellant mass [kg],d_cp_cg [m]
0.0,4.1
5701.947640003568,4.098664886515354
11403.895280007137,4.097329773030708
17105.842920010706,4.0959946595460615
22807.790560014273,4.094659546061415
28509.73820001784,4.093324432576769
34211.68584002141,4.091989319092123
39913.633480024975,4.090654205607477
45615.581120028546,4.089319092122831
51317.52876003212,4.087983978638184
57019.47640003568,4.086648865153538
62721.42404003925,4.085313751668892
68423.37168004282,4.083978638184246
74125.31932004639,4.082643524699599
79827.26696004995,4.081308411214954
85529.21460005353,4.079973297730307
91231.16224005709,4.078638184245661
96933.10988006066,4.0773030707610145
102635.05752006423,4.075967957276369
108337.0051600678,4.074632843791722
114038.95280007136,4.073297730307076
119740.90044007494,4.07196261682243
125442.8480800785,4.070627503337784
131144.79572008207,4.069292389853137
136846.74336008565,4.0679572763684915
142548.6910000892,4.066622162883846
148250.63864009277,4.065287049399199
153952.58628009635,4.063951935914552
159654.5339200999,4.062616822429907
165356.48156010348,4.061281708945261
171058.42920010706,4.059946595460614
176760.3768401106,4.058611481975968
182462.32448011418,4.057276368491322
188164.27212011776,4.055941255006676
193866.2197601213,4.054606141522029
199568.1674001249,4.053271028037384
205270.11504012847,4.051935914552737
210972.06268013202,4.050600801068091
216674.0103201356,4.0492656875834445
222375.95796013917,4.047930574098799
228077.90560014272,4.046595460614152
233779.8532401463,4.045260347129506
239481.80088014988,4.04392523364486
245183.74852015343,4.042590120160214
250885.696160157,4.041255006675567
256587.6438001606,4.0399198931909215
262289.59144016413,4.038584779706275
267991.5390801677,4.037249666221629
273693.4867201713,4.035914552736982
279395.43436017487,4.034579439252337
285097.3820001784,4.03324432576769
290799.32964018197,4.031909212283044
296501.27728018555,4.0305740987983985
302203.2249201891,4.029238985313752
307905.1725601927,4.027903871829105
313607.1202001963,4.026568758344459
319309.0678401998,4.025233644859814
325011.0154802034,4.023898531375167
330712.96312020696,4.02256341789052
336414.91076021054,4.0212283044058745
342116.8584002141,4.019893190921229
347818.8060402177,4.018558077436582
353520.7536802212,4.017222963951936
359222.7013202248,4.01588785046729
364924.64896022837,4.014552736982644
370626.59660023195,4.013217623497997
376328.5442402355,4.0118825100133515
382030.49188023905,4.010547396528705
387732.4395202426,4.009212283044059
393434.3871602462,4.007877169559412
399136.3348002498,4.006542056074767
404838.28244025336,4.00520694259012
410540.23008025694,4.003871829105474
416242.17772026046,4.002536715620828
421944.12536026404,4.001201602136182
427646.0730002676,3.9998664886515356
433348.0206402712,3.9985313751668894
439049.96828027477,3.997196261682243
444751.91592027835,3.995861148197597
450453.86356028187,3.9945260347129508
456155.81120028545,3.9931909212283045
