time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,lift,control_force_perpendicular,g_load_1_sec_window,aero_force_x,mass_flow,drag,control_force_y,alpha_effective,gravity_force_y,vg,control_force_x,mach_number,ug,inertia,CL,speed_of_sound,x_cog,fuel_percentage_consumed,air_density,CD,control_force_parallel,atmospheric_pressure,mach_number_max,d_cp_cg,aero_force_y,d_thrust_cg,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_y_component_drag,moment_dict_moments_z,moment_dict_control_moment_z,moment_dict_M_wind_z,moment_dict_aero_moment_z,moment_dict_theta_dot_dot
325.9499999999622,30519.643239534355,7402.665492136481,-13.536684401635613,-407.67892139241985,1.5375996109278391,0.0007968324762279886,4.679196896762906,-3.1415972858350667,1268541.2356832735,924259.8666329442,0.8470165729522705,0.694033145904541,0.3761583632577358,46947.4114183929,371.26307149511933,8.276074971627121,0.0,2.262886743078132,61529.492936322924,10834.7080078125,1853217.8876745936,38320604.44155214,4.633176116541904e-06,-12411241.372637957,0.0,1273349.944248914,1.3151312573469416,0.0,23217775.589961488,1.6396500257531699e-06,310.5782130824157,4.950037345369075,0.7827991059578362,0.5628095693918403,0.36715819608561034,38341754.587478444,38777.1075525457,1.5474618559178674,-32.81719930259383,1852196.1723220828,8.050037345369075,30.208402662536656,1.003790738866325,0.0,21.87787224988095,1.0520702266467736,0.0,0.04848156857903731,0.0,-9.783869080103571,-6.520494739898341e-06,-2.165083226158921e-07,1.1510071647388137e-06,553.3754231688133,0.0,0.0,553.3754231688133,2.3834127478089353e-05
326.0499999999621,30518.296124146003,7362.033899690622,-13.431857497104849,-405.4978375007972,1.537679440207972,0.0007991828208713676,4.6792767245250655,-3.1415972843170934,1267460.6921346895,923179.3230843602,0.8447281718254089,0.6894563436508179,0.376838102591802,46664.18669078211,371.46674291556565,8.31967766941551,0.0,2.2541199713955886,61359.31663305554,10805.4345703125,1852542.1135741656,38213193.45794597,4.631051117698348e-06,-12400827.67837217,0.0,1266729.1557934128,1.3073781894873413,0.0,23215835.70994167,1.6582927228059319e-06,310.74886836893694,4.950497955324724,0.7830531310246366,0.565447273095702,0.3692519383202718,38234183.095870405,39001.668790937074,1.5430004878557209,-32.81673869263818,1851525.6727621625,8.050497955324724,30.14941109817484,0.9994228331136292,0.0,21.81949656328093,1.0476107728032398,0.0,0.048388593058827735,0.0,-9.78399389845091,-6.560453670114247e-06,-2.1731084771360854e-07,1.1525531507259353e-06,554.5666179618177,0.0,0.0,554.5666179618177,2.388742860220779e-05
326.149999999962,30516.959463411247,7321.6200450067145,-13.327479347640654,-403.32268691921007,1.537759505037588,0.0008015411815340824,4.679356790257056,-3.1415972852194676,1266383.1021383516,922101.7330880223,0.8424192667007446,0.684838593006134,0.3775141993189114,46379.95234220117,371.6692147588103,8.357721407274363,0.0,2.24643952675209,61181.7922030097,10775.900390625,1851653.8801674612,38104878.69650714,4.6313420374310965e-06,-12390441.768769844,0.0,1260086.673854881,1.2996568761072664,0.0,23213899.450149138,1.6760847998953388e-06,310.9185189918779,4.950957675540882,0.7833064637376776,0.5680802559190073,0.37133672827556424,38125707.847870186,39226.073730431606,1.5385805505878298,-32.81627897242202,1850642.8289413098,8.050957675540882,30.089535016824794,0.9950280225053234,0.0,21.760067537791475,1.0431183504648769,0.0,0.048289542521786986,0.0,-9.78411805072885,-6.596078347794745e-06,-2.179621945572911e-07,1.1539649493293703e-06,555.6899924088976,0.0,0.0,555.6899924088976,2.3937813360578143e-05
326.2499999999619,30515.633212252247,7281.423328244665,-13.223553183977854,-401.1535736447907,1.5378398062592897,0.000803907829020595,4.6794370947646415,-3.141597288505352,1265308.4914205782,921027.1223702489,0.8400901556015015,0.6801802515983582,0.37818666347398705,46094.77213329283,371.87049194555715,8.40634775329074,0.0,2.2398986433829533,60997.30843887203,10746.107421875,1850563.9509383312,37995672.19527514,4.634024682204085e-06,-12380083.901067033,0.0,1253423.1574438554,1.2919675089914597,0.0,23211966.869149722,1.6962664588504595e-06,311.0871690618842,4.951416492238281,0.7835590980530505,0.5707084286378485,0.3734141927099874,38016340.89680938,39450.31256598696,1.5342016096800817,-32.81582015572462,1849558.3972792984,8.051416492238282,30.028781481278855,0.9906067697661786,0.0,21.699600262859427,1.0385937135562284,0.0,0.04818472104990705,0.0,-9.784241538731596,-6.640107376592957e-06,-2.1888328762453232e-07,1.1552485330428638e-06,557.2751987220622,0.0,0.0,557.2751987220622,2.4008099006151813e-05
326.3499999999618,30514.317325270153,7241.443139175735,-13.120082209850821,-398.9906016702403,1.5379203446948146,0.0008062827994357376,4.679517638833079,-3.141597294138264,1264236.8859823458,919955.5169320165,0.8377407193183899,0.6754814386367798,0.3788555052657472,45808.70951503669,372.0705794266741,8.46705135447059,0.0,2.234100778268765,60806.345089699644,10716.0537109375,1849285.5048530078,37885562.00627837,4.639068834855209e-06,-12369754.335221034,0.0,1246738.4745714373,1.284310279043692,0.0,23210038.026145566,1.719184676951535e-06,311.2548227148225,4.951874391490738,0.7838110278623208,0.5733317033597238,0.37548647931292267,37906070.29692659,39674.37559222955,1.5298632354373332,-32.81536225647216,1848285.5479952134,8.051874391490738,29.96713861646291,0.9861589140414048,0.0,21.63809283219266,1.0340370655562119,0.0,0.04807449416532638,0.0,-9.784364364285578,-6.693743419013465e-06,-2.2011161060301956e-07,1.1564114298489126e-06,559.371127939041,0.0,0.0,559.371127939041,2.410039687608105e-05
326.44999999996173,30513.01175675288,7201.678857337802,-13.017069504114506,-396.83387201100885,1.5380011211424742,0.0008086659080252494,4.67959842322672,-3.1415973020842456,1263168.3113058321,918886.9422555028,0.8353713750839233,0.6707427501678467,0.37952073507410766,45521.827264533946,372.26948218249504,8.533634223429843,0.0,2.2281978311714115,60609.659859605585,10685.74609375,1847840.0789900834,37774580.15837465,4.646440933342433e-06,-12359453.326146368,0.0,1240033.9430508139,1.2766853714378095,0.0,23208112.97982211,1.7436235753565121e-06,311.4214841115077,4.952331359498876,0.7840622471430885,0.5759499935344286,0.37755749084834644,37794928.10313826,39898.25320517732,1.5255650028381098,-32.814905288464026,1846845.8048052099,8.052331359498876,29.90462935166908,0.9816854428281988,0.0,21.575584780988713,1.0294499792708118,0.0,0.04795944256069194,0.0,-9.784486529249195,-6.752106420283657e-06,-2.2148471884873187e-07,1.1574664599199452e-06,561.7752306453863,0.0,0.0,561.7752306453863,2.420598482667729e-05
326.54999999996164,30511.71646068681,7162.129852309761,-12.914518043303948,-394.68348337004284,1.5380821363770945,0.000811056851127564,4.67967944868871,-3.1415973123116157,1262102.7926901095,917821.4236397801,0.8329823017120361,0.6659646034240723,0.3801823634455913,45234.187293558345,372.4672052215288,8.59885298691087,0.0,2.2221903895289836,60408.3991627313,10655.1865234375,1846261.26035277,37662726.698405825,4.656106724620912e-06,-12349181.126997668,0.0,1233309.8254405742,1.2690929631952386,0.0,23206191.788509376,1.7681215898623925e-06,311.5871574365517,4.9527873825518025,0.7843127499374791,0.5785632139507513,0.37963370230022064,37682914.37089678,40121.9359027428,1.5213064914927847,-32.8144492654111,1845272.7350892972,8.052787382551802,29.84125137551561,0.9771865117355739,0.0,21.512100010405298,1.0248335058637539,0.0,0.04784045594422657,0.0,-9.78460803551191,-6.809471805716355e-06,-2.2281410346690955e-07,1.1584340957560998e-06,564.2524111959912,0.0,0.0,564.2524111959912,2.431473532315555e-05
326.64999999996155,30510.431390772574,7122.795484114872,-12.81243060584535,-392.53952919008356,1.5381633911511696,0.000813455309299764,4.679760715940972,-3.1415973247898026,1261040.354793381,916758.9857430516,0.8305738568305969,0.6611477136611938,0.38084040108658057,44945.85025290598,372.6637535785289,8.65783841194589,0.0,2.21607903660464,60204.51454527409,10624.37890625,1844607.6988619403,37550021.662786536,4.668032692389801e-06,-12338937.984688945,0.0,1226567.0396608494,1.2615332178847771,0.0,23204274.50951827,1.7916710262078084e-06,311.7518468970561,4.953242447184578,0.7845625304381783,0.5811712807300065,0.38172694055027956,37570049.155923665,40345.41428495336,1.5170872856062843,-32.813994200778325,1843624.9562218639,8.053242447184578,29.777018253265204,0.97266279782285,0.0,21.447698246295587,1.0201898592948713,0.0,0.04771906706415539,0.0,-9.784728884993262,-6.861977259294092e-06,-2.239738954061401e-07,1.1593507056203782e-06,566.649359755877,0.0,0.0,566.649359755877,2.4420042071276154e-05
326.74999999996146,30509.156500450274,7083.675103914574,-12.710809650037042,-390.4020938639563,1.538244886196597,0.0008158610102796002,4.6798422256848955,-3.141597339488299,1259981.0223043673,915699.653254038,0.82814621925354,0.6562924385070801,0.38149485885171,44656.87486166568,372.85913231111994,8.708727753641169,0.0,2.2098651800030624,60001.14373186968,10593.3251953125,1842975.1449548171,37436539.12116902,4.682186396376409e-06,-12328724.146460028,0.0,1219808.260090608,1.2540062764579984,0.0,23202361.200402077,1.8138642527421034e-06,311.9155567201833,4.9536965398787345,0.7848115828235325,0.5837741113009852,0.3838570717436942,37456406.575674124,40568.67905256348,1.512906973969805,-32.81354010808417,1841998.1671402224,8.053696539878734,29.71198649698842,0.9681163751654864,0.0,21.382511732487842,1.0155235966885894,0.0,0.04759775708803,0.0,-9.784849079641011,-6.9081323188181895e-06,-2.2491671105730415e-07,1.1602762634150153e-06,568.9172505008909,0.0,0.0,568.9172505008909,2.4519799756027933e-05
326.84999999996137,30507.891742951026,7044.768055518173,-12.609657035653298,-388.27124409397754,1.53832662222792,0.0008182737496893684,4.67992397860388,-3.1415973563759603,1258924.819423508,914643.4503731786,0.8256995677947998,0.6513991355895996,0.3821457477186106,44367.3157935005,373.0533464923623,8.75063978646295,0.0,2.2035526176621416,59807.314671230306,10562.0283203125,1841641.6881863577,37322233.33859138,4.698535774672052e-06,-12318539.854794914,0.0,1213032.2453142279,1.2465122278311074,0.0,23200451.9179082,1.8344887259269527e-06,312.0782911478344,4.954149647311053,0.7850599013937701,0.5863716243275054,0.3860827318479472,37341940.87896924,40791.72100157152,1.5087651500259107,-32.81308700065185,1840670.3107439657,8.054149647311053,29.646117673398585,0.9635462154679774,0.0,21.316722775245758,1.0108408596719707,0.0,0.047483692144775075,0.0,-9.784968621427188,-6.94722081326229e-06,-2.256208079756388e-07,1.161386136937052e-06,571.0677815694434,0.0,0.0,571.0677815694434,2.4614511113408174e-05
